album,artist,title,duration,source,genre,image,trackNumber
Öreg néne őzikéje,Fazekas Anna,Öreg néne őzikéje,356,https://archive.org/download/oreg_nene_ozikeje/background_mek_ozszgy.mp3,mese(k),https://archive.org/download/oreg_nene_ozikeje/10121342.jpg,1
Kisgyermekek nagy mesekönyve,Zelk Zoltán,A három nyúl,326,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/02-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,1
Kisgyermekek nagy mesekönyve,Szász Imre,A kislány és a kiskutya,557,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/02-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,2
Kisgyermekek nagy mesekönyve,Illyés Gyula,A kocsisok meg a grófok,189,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/03-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,3
Kisgyermekek nagy mesekönyve,Kolozsvári Grandpierre Emil,A két kicsi bocs meg a róka,260,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/04-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,4
Kisgyermekek nagy mesekönyve,Lipták Gábor,A madarak hálája,586,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/05-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,5
Kisgyermekek nagy mesekönyve,Móricz Zsigmond,János vitéz,493,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/06-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,6
Kisgyermekek nagy mesekönyve,Kisspista István,A varjú nyarat kiált,284,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/07-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,7
Kisgyermekek nagy mesekönyve,Szép Ernő,Mátyás három lustája,253,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/08-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,8
Kisgyermekek nagy mesekönyve,Zelk Zoltán,Az állatok iskolája,314,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/09-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,9
Kisgyermekek nagy mesekönyve,Gárdonyi Géza,Egérvadászat,429,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/10-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,10
Kisgyermekek nagy mesekönyve,Móra Ferenc,Télapó haragja,421,https://archive.org/download/05KisgyermekekNagyMesekonyveValogatas2014/11-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.mp3,mese(k),https://ia802506.us.archive.org/14/items/05KisgyermekekNagyMesekonyveValogatas2014/00-Kisgyermekek_nagy_mesekonyve-Valogatas-2014.jpg,11